country,citations,share
NG,13.039482638971666,0.0005302327032763364
UY,12.915170940170938,0.0005251777382958255
OM,12.025,0.000488980156148341
SA,11.591588785697912,0.0004713560826975403
GH,11.334126984126984,0.00046088675114374527
LK,10.361764705882353,0.00042134697079872934
CO,9.104978354978355,0.0003702414750723144
MA,8.399999999999999,0.00034157449577098235
CR,7.316399286987522,0.0002975113568228498
BG,7.25,0.00029481132075471697
KW,6.602293577981651,0.00026847322617036643
LU,6.5251322751322745,0.00026533556746634166
HR,6.499999999999999,0.0002643135979180221
BN,6.25,0.0002541476903057905
SK,6.166666666666666,0.0002507590544350466
EE,5.842359165888578,0.00023757153407159148
LB,5.833333333333333,0.00023720451095207113
MO,5.066666666666666,0.0002060290609412275
EG,5.0,0.0002033181522446324
MN,4.990909090909091,0.0002029484828769149
AZ,4.833333333333334,0.00019654088050314466
PE,4.53125,0.00018425707547169813
AE,4.35,0.00017688679245283018
KE,4.257440476190476,0.0001731229861821111
KZ,4.061111111111112,0.00016513952143425145
TZ,3.844284188034188,0.0001563225515628736
LA,3.388888888888889,0.00013780452541025084
UG,3.3333333333333335,0.00013554543482975493
ST,3.3333333333333335,0.00013554543482975493
BI,3.0,0.00012199089134677944
UZ,3.0,0.00012199089134677944
RO,3.0,0.00012199089134677944
CU,2.9166666666666665,0.00011860225547603556
LT,2.8833333333333333,0.00011724680112773802
SS,2.6666666666666665,0.00010843634786380394
PS,2.5,0.0001016590761223162
JO,2.4,9.759271307742355e-05
QA,2.3425076452599387,9.525486521063512e-05
KH,2.3,9.35263500325309e-05
RW,2.25,9.149316851008457e-05
SD,2.171451355661882,8.829909546445519e-05
TN,2.0454545454545454,8.317560773644052e-05
BW,2.0,8.132726089785297e-05
CI,1.5769230769230769,6.412341724638406e-05
ZM,1.5238095238095237,6.196362735074511e-05
VE,1.5,6.099544567338972e-05
DZ,1.5,6.099544567338972e-05
JM,1.5,6.099544567338972e-05
MT,1.4142857142857141,5.75099916349103e-05
DO,1.3333333333333333,5.421817393190197e-05
NP,1.3333333333333333,5.421817393190197e-05
CG,1.2692307692307692,5.161153095440669e-05
TT,1.2000000000000002,4.879635653871178e-05
KG,1.2,4.8796356538711774e-05
GE,1.1818181818181819,4.8057017803276754e-05
AL,1.1333333333333333,4.608544784211668e-05
RS,1.1,4.472999349381913e-05
ER,1.1,4.472999349381913e-05
EC,1.0833333333333333,4.405226631967035e-05
MG,1.0752136752136752,4.372209154252095e-05
NA,1.0,4.066363044892648e-05
BH,1.0,4.066363044892648e-05
AM,1.0,4.066363044892648e-05
FJ,0.9444444444444444,3.8404539868430566e-05
CD,0.9,3.6597267404033834e-05
UA,0.8333333333333333,3.388635870743873e-05
CM,0.8095238095238095,3.291817703008334e-05
PR,0.6527777777777777,2.6544314320827004e-05
SN,0.5833333333333334,2.3720451095207113e-05
MK,0.5196078431372549,2.1129141311697096e-05
MW,0.5,2.033181522446324e-05
BM,0.5,2.033181522446324e-05
GA,0.4,1.6265452179570593e-05
AD,0.4,1.6265452179570593e-05
MV,0.375,1.524886141834743e-05
SL,0.34090909090909094,1.3862601289406756e-05
BA,0.3333333333333333,1.3554543482975493e-05
BB,0.3333333333333333,1.3554543482975493e-05
NE,0.3333333333333333,1.3554543482975493e-05
MZ,0.3,1.2199089134677944e-05
GN,0.27609427609427606,1.1226995612161518e-05
GT,0.275,1.1182498373454783e-05
NI,0.24812030075187969,1.008947221665093e-05
SB,0.21978021978021978,8.937061637126698e-06
ZW,0.2,8.132726089785296e-06
TJ,0.2,8.132726089785296e-06
ME,0.2,8.132726089785296e-06
PF,0.1423611111111111,5.788919612520783e-06
SY,0.125,5.08295380611581e-06
NC,0.1111111111111111,4.518181160991831e-06
FM,0.1111111111111111,4.518181160991831e-06
AO,0.1,4.066363044892648e-06
GM,0.09926958831341301,4.036661853993698e-06
PG,0.058823529411764705,2.3919782617015575e-06
SV,0.045454545454545456,1.8483468385875673e-06
LR,0.03125,1.2707384515289526e-06
MD,0.02564102564102564,1.0426571909981147e-06
